Sequence,Domain,Family,Species
Haemophilus influenzae 22.4-21 draft (44 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus influenzae
Haemophilus influenzae F3031 chromosome,BacteriaFamilies,Pasteurellaceae,Haemophilus influenzae
Haemophilus influenzae NT127 draft (41 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus influenzae
Haemophilus influenzae 22.4-21 draft (44 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus influenzae
Haemophilus influenzae PittHH draft (59 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus influenzae
Haemophilus influenzae CGSHiCZ412602,BacteriaFamilies,Pasteurellaceae,Haemophilus influenzae
Haemophilus sp. FF7 draft (46 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus massiliensis
Haemophilus sp. FF7 draft (46 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus massiliensis
Haemophilus parahaemolyticus HK385 draft (61 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus parahaemolyticus
Haemophilus parahaemolyticus HK385 draft (61 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus parahaemolyticus
Haemophilus parainfluenzae HK2019 draft (42 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus parainfluenzae
Haemophilus paraphrohaemolyticus HK411 draft (78 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus paraphrohaemolyticus
Haemophilus paraphrohaemolyticus HK411 draft (78 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus paraphrohaemolyticus
Haemophilus sp. oral taxon 851 str. F0397 draft (37 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus sp. oral taxon 851
Haemophilus sp. oral taxon 851 str. F0397 draft (37 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus sp. oral taxon 851
Haemophilus sp. HK 2154 Haemophilus sputorum HK 2154 draft (25 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus sputorum
Haemophilus sp. HK 2154 Haemophilus sputorum HK 2154 draft (25 frags),BacteriaFamilies,Pasteurellaceae,Haemophilus sputorum
Helcococcus sueciensis DSM 17243 draft (45 frags),BacteriaFamilies,Clostridiales Family XI. Incertae Sedis,Helcococcus sueciensis
Holdemania filiformis DSM 12042 draft (289 frags),BacteriaFamilies,Erysipelotrichaceae,Holdemania filiformis
Holdemania filiformis DSM 12042 draft (289 frags),BacteriaFamilies,Erysipelotrichaceae,Holdemania filiformis
HST297840 Hop stunt viroid RNA isolate HSVd.apr24,ViralFamilies,Pospiviroidae,Hop stunt viroid
Hop stunt viroid clone HSVd.PN.12,ViralFamilies,Pospiviroidae,Hop stunt viroid
Hop stunt viroid isolate alm-zahaf1,ViralFamilies,Pospiviroidae,Hop stunt viroid
Prevotella buccalis ATCC 35310 draft (118 frags),BacteriaFamilies,Prevotellaceae,Hoylesella buccalis
Prevotella buccalis ATCC 35310 draft (118 frags),BacteriaFamilies,Prevotellaceae,Hoylesella buccalis
Prevotella marshii JCM 13450 draft (80 frags),BacteriaFamilies,Prevotellaceae,Hoylesella marshii
Prevotella oralis ATCC 33269 draft (6 frags),BacteriaFamilies,Prevotellaceae,Hoylesella oralis
Prevotella oralis ATCC 33269 draft (6 frags),BacteriaFamilies,Prevotellaceae,Hoylesella oralis
Prevotella sp. CC98A Prevotella oralis CC98A draft (14 frags),BacteriaFamilies,Prevotellaceae,Hoylesella oralis
Prevotella pleuritidis F0068 draft (51 frags),BacteriaFamilies,Prevotellaceae,Hoylesella pleuritidis
Prevotella pleuritidis JCM 14110 draft (49 frags),BacteriaFamilies,Prevotellaceae,Hoylesella pleuritidis
Prevotella timonensis DSM 22865 Prevotella timonensis 4401737 = DSM 22865 = JCM 15640 draft (101 frags),BacteriaFamilies,Prevotellaceae,Hoylesella timonensis
Human gyrovirus type 1 strain G13,ViralFamilies,Circoviridae,Human gyrovirus 1
Kandleria vitulina WCE2011 draft (44 frags),BacteriaFamilies,Erysipelotrichaceae,Kandleria vitulina
Enterobacter aerogenes FGI35 draft (8 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella aerogenes
Enterobacter aerogenes UCI 16 draft (16 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella aerogenes
Enterobacter aerogenes UCI 28 draft (15 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella aerogenes
Enterobacter aerogenes UCI 48 draft (16 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella aerogenes
Klebsiella cf. planticola B43 draft (703 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella cf. planticola B43
Klebsiella oxytoca E718 plasmid pKOX_R1 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella oxytoca
Klebsiella oxytoca KOX105 plasmid pKOX105 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella oxytoca
Klebsiella oxytoca MGH 27 draft (27 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella oxytoca
Klebsiella oxytoca MGH 41 draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella oxytoca
Klebsiella sp. BRL6-2,BacteriaFamilies,Enterobacteriaceae,Klebsiella oxytoca
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO draft (168 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 draft (165 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 draft (149 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPNIH18 draft (167 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPNIH17 draft (137 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 draft (185 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 draft (160 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 draft (173 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae KCTC 2242 plasmid pKCTC2242 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae plasmid pKF3-140 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae plasmid 9 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae plasmid pKpQIL ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae plasmid pKP048 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae VA360 draft (210 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae 700603 draft (103 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae NTUH-K2044 plasmid pK2044 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae G5-2 draft (107 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UHKPC179 draft (174 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UHKPC09 draft (205 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UHKPC48 draft (194 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae DMC0526 draft (167 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae VAKPC254 draft (175 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae LCT-KP182 draft (23 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Escherichia coli 909957 draft (261 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae MGH 17 draft (35 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae MGH 18 draft (10 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae MGH 19 draft (17 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UCICRE 2 draft (15 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UCICRE 4 draft (22 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 21 draft (23 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 22 draft (16 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 41 draft (34 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 18C draft (6 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 16 draft (6 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae T69 draft (234 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae IS33 draft (427 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae IS46 draft (957 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae IS10 draft (1888 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae IS39 draft (990 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 7A draft (29 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 2A draft (12 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 7B draft (32 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 32 draft (45 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 46a draft (28 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 46b draft (13 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 52 draft (19 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UCI 21 draft (19 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UCI 34 draft (20 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UCI 42 draft (20 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae Kb677 draft (2 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae Kb140 draft (2 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae str. Kp52.145 plasmid I,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13a ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae FCF3SP plasmid pKPC_FCF/3SP ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 47 draft (143 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae MGH 63 draft (155 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae MGH 66 draft (66 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 71 draft (23 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 63 draft (14 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 61 draft (13 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 59 draft (29 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 44 draft (40 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 40 draft (40 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 39 draft (31 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 18 draft (25 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 14 draft (28 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 06 draft (25 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BWH 48 draft (36 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae BIDMC 18B draft (25 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UCI 56 draft (24 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae KP2-R draft (131 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Escherichia coli LAU-EC1 Klebsiella pneumoniae LAU-KP1 draft (86 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 75 draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 62 draft (22 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 51 draft (33 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 50 draft (22 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 29 draft (28 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 27 draft (37 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 05 draft (28 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 17 draft (31 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae CHS 13 draft (26 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UHKPC45 draft (5 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae UHKPC 52 draft (4 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae KPR0928 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae strain blaNDM-1,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae strain blaNDM-1 plasmid plasmid2 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae strain MRSN6920 draft (184 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae subsp. pneumoniae strain ATCC 43816 KPPR1,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae 30660/NJST258_1,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Klebsiella pneumoniae 30660/NJST258_1 plasmid pNJST258N3 ,BacteriaFamilies,Enterobacteriaceae,Klebsiella pneumoniae
Escherichia coli KTE92 Klebsiella sp. KTE92 draft (34 frags),BacteriaFamilies,Enterobacteriaceae,Klebsiella sp. KTE92
Enterobacter radicincitans DSM 16656 draft (33 frags),BacteriaFamilies,Enterobacteriaceae,Kosakonia radicincitans
Enterobacter radicincitans DSM 16656 draft (33 frags),BacteriaFamilies,Enterobacteriaceae,Kosakonia radicincitans
Kosakonia radicincitans UMEnt01/12 draft (71 frags),BacteriaFamilies,Enterobacteriaceae,Kosakonia radicincitans
Lachnospiraceae bacterium MSX33 draft (99 frags),BacteriaFamilies,Lachnospiraceae,Lachnoanaerobaculum sp. MSX33
Lachnospira multipara MC2003 draft (31 frags),BacteriaFamilies,Lachnospiraceae,Lachnospira multipara
Lachnospira multipara ATCC 19207 draft (32 frags),BacteriaFamilies,Lachnospiraceae,Lachnospira multipara
Lachnospiraceae bacterium 1_4_56FAA draft (45 frags),BacteriaFamilies,Lachnospiraceae,Lachnospiraceae bacterium 1_4_56FAA
Lachnospiraceae bacterium 1_4_56FAA draft (45 frags),BacteriaFamilies,Lachnospiraceae,Lachnospiraceae bacterium 1_4_56FAA
Lachnospiraceae bacterium 6-1-63FAA Lachnospiraceae bacterium 6_1_63FAA draft (37 frags),BacteriaFamilies,Lachnospiraceae,Lachnospiraceae bacterium 6_1_63FAA
Lachnospiraceae bacterium 6-1-63FAA Lachnospiraceae bacterium 6_1_63FAA draft (37 frags),BacteriaFamilies,Lachnospiraceae,Lachnospiraceae bacterium 6_1_63FAA
Lachnospiraceae bacterium VE202-12 draft (502 frags),BacteriaFamilies,Lachnospiraceae,Lachnospiraceae bacterium VE202-12
Lachnospiraceae bacterium VE202-12 draft (501 frags),BacteriaFamilies,Lachnospiraceae,Lachnospiraceae bacterium VE202-12
Clostridium saccharolyticum WM1 chromosome,BacteriaFamilies,Lachnospiraceae,Lacrimispora saccharolytica
Lactobacillus casei Lc-10 draft (76 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus casei
Lactobacillus casei 32G draft (42 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus casei
Lactobacillus casei Lpc-37 draft (150 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus casei
Lactobacillus casei BD-II chromosome,BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus casei
Lactobacillus casei strain Lbs2 draft (443 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus casei
Lactobacillus paracasei subsp. paracasei Lpp226 draft (131 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei subsp. paracasei Lpp46 draft (90 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei subsp. tolerans Lpl7 draft (91 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei subsp. paracasei Lpp37 draft (264 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei N1115 plasmid ,BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei N1115,BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei N1115 plasmid ,BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei N1115 plasmid ,BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus paracasei N1115 plasmid ,BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus paracasei
Lactobacillus rhamnosus HN001 draft (94 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus rhamnosus
Lactobacillus rhamnosus CRL1505 draft (218 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus rhamnosus
Lactobacillus rhamnosus HMP0056 Lactobacillus rhamnosus LMS2-1 draft (116 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus rhamnosus
Lactobacillus rhamnosus HN001 draft (94 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus rhamnosus
Lactobacillus rhamnosus strain 24 draft (90 frags),BacteriaFamilies,Lactobacillaceae,Lacticaseibacillus rhamnosus
Lactobacillus plantarum WCFS1 plasmid pWCFS103 ,BacteriaFamilies,Lactobacillaceae,Lactiplantibacillus plantarum
Lactobacillus plantarum subsp. plantarum ST-III plasmid pST-III ,BacteriaFamilies,Lactobacillaceae,Lactiplantibacillus plantarum
Lactobacillus plantarum subsp. plantarum P-8 plasmid LBPp5 ,BacteriaFamilies,Lactobacillaceae,Lactiplantibacillus plantarum
Lactobacillus acidophilus CIP 76.13 draft (55 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus acidophilus
Lactobacillus acidophilus DSM 9126 draft (45 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus acidophilus
Lactobacillus crispatus 214-1 draft (187 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus crispatus
Lactobacillus crispatus MV-1A-US draft (140 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus crispatus
Lactobacillus crispatus 214-1 draft (187 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus crispatus
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4 draft (140 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus delbrueckii
Lactobacillus delbrueckii subsp. bulgaricus ND02 chromosome,BacteriaFamilies,Lactobacillaceae,Lactobacillus delbrueckii
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4 draft (140 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus delbrueckii
Lactobacillus delbrueckii subsp. bulgaricus draft (14 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus delbrueckii
Lactobacillus delbrueckii subsp. bulgaricus draft (14 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus delbrueckii
Lactobacillus gallinarum JCM 2011 draft (74 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus gallinarum
Lactobacillus gasseri 202-4 draft (70 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus gasseri
Lactobacillus gasseri JV-V03 draft (10 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus gasseri
Lactobacillus gasseri SV-16A-US draft (43 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus gasseri
Lactobacillus gasseri 202-4 draft (70 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus gasseri
Lactobacillus gasseri JV-V03 draft (10 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus gasseri
Lactobacillus helveticus DPC 4571,BacteriaFamilies,Lactobacillaceae,Lactobacillus helveticus
Lactobacillus helveticus MTCC 5463 draft (593 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus helveticus
Lactobacillus helveticus DSM 20075 plasmid pLH1 ,BacteriaFamilies,Lactobacillaceae,Lactobacillus helveticus
Lactobacillus helveticus CIRM-BIA 101 draft (213 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus helveticus
Lactobacillus iners LEAF 2052A-d draft (28 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus iners LEAF 2062A-h1 draft (24 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus iners LactinV 03V1-b draft (67 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus sp. 7_1_47FAA draft (28 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus iners ATCC 55195 draft (19 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus iners LEAF 2062A-h1 draft (24 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus iners LEAF 2052A-d draft (28 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus iners LactinV 03V1-b draft (67 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus iners ATCC 55195 draft (19 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus sp. 7_1_47FAA draft (28 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus iners
Lactobacillus jensenii JV-V16 draft (2 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus jensenii
Lactobacillus jensenii JV-V16 draft (2 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus jensenii
Lactobacillus johnsonii FI9785 plasmid p9785L ,BacteriaFamilies,Lactobacillaceae,Lactobacillus johnsonii
Lactobacillus johnsonii DPC 6026 chromosome,BacteriaFamilies,Lactobacillaceae,Lactobacillus johnsonii
Lactobacillus johnsonii FI9785 chromosome,BacteriaFamilies,Lactobacillaceae,Lactobacillus johnsonii
Lactobacillus kefiranofaciens subsp. kefiranofaciens JCM 6985 draft (123 frags),BacteriaFamilies,Lactobacillaceae,Lactobacillus kefiranofaciens
Lactococcus garvieae DCC43 draft (68 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus garvieae Tac2 draft (97 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus garvieae UNIUD074 draft (25 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus garvieae 8831 draft (87 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus garvieae ATCC 49156 draft (6 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus garvieae ATCC 49156 draft (16 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus garvieae TRF1 draft (112 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus garvieae NBRC 100934 draft (56 frags),BacteriaFamilies,Streptococcaceae,Lactococcus garvieae
Lactococcus lactis subsp. cremoris SK11 plasmid 1 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. cremoris SK11 plasmid 4 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis DPC3147 plasmid pMRC01 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. lactis bv. diacetylactis plasmid pVF22 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. cremoris MG1363 chromosome,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. lactis plasmid pIL3 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. lactis plasmid pIL7 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis ML8 plasmid pCL2.1 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. lactis strain MJC15 plasmid pCD4 ,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. cremoris TIFN3 draft (412 frags),BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. cremoris KW2,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. lactis KLDS 4.0325,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. cremoris HP draft (213 frags),BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis subsp. cremoris GE214 draft (243 frags),BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus lactis strain AI06,BacteriaFamilies,Streptococcaceae,Lactococcus lactis
Lactococcus phage 340,ViralFamilies,Siphoviridae,Lactococcus phage 340
