Target Description	a483920-2391847-070525-424_A01	a174305-8347510-070525-424_A02	a592183-1029384-070525-424_A03	a381927-5647382-070525-424_A04	a849201-8374629-070525-424_A05	a720394-6583721-070525-424_A06	a483920-2391847-070525-428_A01	a174305-8347510-070525-428_A02	a592183-1029384-070525-428_A03	a381927-5647382-070525-428_A04	a849201-8374629-070525-428_A05	a720394-6583721-070525-428_A06
Escherichia coli HVH 215 (4-3008371) draft (11 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium E1622 draft (17 frags)												
Escherichia coli 5-172-05_S4_C1 draft (113 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Mangrovibacter sp. MFB070 draft (57 frags)					Secondary					Secondary	Secondary	Secondary
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 chromosome												
Pseudomonas aeruginosa SCV20265												
Bacteroides fragilis HMW 616 draft (25 frags)	Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli 1.2264 draft (31 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae UHKPC48 draft (194 frags)												
Alistipes sp. AL-1 draft (24 frags)	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary
Lactobacillus gallinarum JCM 2011 draft (74 frags)												
Escherichia coli BIDMC 75 draft (43 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain UCD_JA17 draft (99 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli DEC14A draft (46 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia fergusonii ECD227 plasmid pECD227_113				Secondary	Secondary			Secondary		Secondary	Secondary	Secondary
Streptococcus thermophilus plasmid pSMQ-316 												
Aggregatibacter actinomycetemcomitans DSM 8324 draft (33 frags)												
Escherichia coli KO11FL chromosome				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Prevotella ruminicola Ga6B6 draft (52 frags)												
Escherichia coli 174900 draft (101 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 1047 draft (400 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 159 (4-5818141) draft (44 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-005-03_S3_C1 draft (168 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Azotobacter vinelandii DJ chromosome												
Streptococcus pyogenes ABC020046158 draft (12 frags)												
Mannheimia haemolytica serotype A1/A6 str. PKL10 draft (11 frags)										Secondary		
Escherichia coli HVH 68 (4-0888028) draft (39 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 60												
Escherichia coli O86:H34 str. 99-3124 draft (182 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bifidobacterium pseudolongum subsp. pseudolongum strain LMG 11571 draft (11 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Pseudomonas aeruginosa BL17 draft (18 frags)												
Pseudomonas aeruginosa SG17M draft (17 frags)												
Streptococcus oralis SK1074 draft (20 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
"Saccharomyces cerevisiae UCD51, combined chrs"												
Streptococcus agalactiae 2864 Streptococcus agalactiae str. Gottschalk 2864 draft (41 frags)												
Streptococcus agalactiae GB00535 draft (24 frags)												
Streptococcus pyogenes ABC020006309 draft (6 frags)												
Shigella flexneri 2002035 draft (300 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KOEGE 32 (66a) draft (38 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis T19 Enterococcus faecalis EnGen0355 strain T19 draft (8 frags)												
Human papillomavirus type 6 complete genome isolate 126												
Enterococcus faecium CRL1879 draft (73 frags)												
Faecalibacterium prausnitzii A2-165 draft (115 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. 2011EL-2114 draft (96 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Parasutterella excrementihominis YIT 11859 draft (103 frags)	DETECTED	DETECTED	Secondary				DETECTED	Secondary	DETECTED			
Anaerococcus sp. PH9 draft (93 frags)												
Escherichia coli EPECa12 draft (110 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Tobacco mosaic virus					Secondary							
Streptococcus mutans TCI-260 draft (141 frags)												
Klebsiella pneumoniae BIDMC 18C draft (6 frags)												
Escherichia coli strain E. coli draft (89 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli PA23 draft (475 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 96.0107 draft (369 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2-005-03_S3_C3 draft (168 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae IS10 draft (1888 frags)												
Escherichia coli O104:H4 str. ON2010 draft (80 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae CHS 47 draft (143 frags)												
Bacteroides fragilis CL07T12C05 draft (35 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			Secondary
Bacteroides acidifaciens JCM 10556 draft (265 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli 2860050 draft (185 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa LESlike5 sequence												
Enterobacter sp. MGH 6 draft (23 frags)												
Enterococcus faecium DO plasmid 3 												
Escherichia coli 2726950 draft (186 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis ERV73 draft (251 frags)												
Propionibacterium phage PHL112N00												
Escherichia coli KTE109 draft (52 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis SF6375 draft (45 frags)												
Escherichia coli TOP2386 draft (219 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis B2685 draft (52 frags)												
Shigella sonnei plasmid P9 DNA 												
Staphylococcus epidermidis VCU012 Staphylococcus pettenkoferi VCU012 draft (116 frags)												
Pepino mosaic virus isolate Ch2	Secondary											
Streptococcus agalactiae 2603V/R chromosome												
Escherichia coli p0305293.9 draft (194 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain D6-117_07.11 draft (52 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Lactococcus phage P680					Secondary	Secondary					Secondary	Secondary
Escherichia coli M13 draft (690 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus isolate VRDC/CAV/HR/C29/11 VP2 protein (VP2) apoptin (VP3) and capsid protein (VP1) genes complete cds												
Klebsiella pneumoniae plasmid 9 												
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 draft (10 frags)		DETECTED		DETECTED	Secondary	DETECTED		DETECTED		DETECTED	Secondary	DETECTED
Streptococcus phage Sfi19												
Enterobacter pulveris DSM 19144 draft (36 frags)					Secondary	Secondary				Secondary	Secondary	Secondary
Haemophilus influenzae 22.4-21 draft (44 frags)				Secondary						Secondary		
Escherichia coli 3-267-03_S1_C2 draft (87 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae SGBS006 draft (23 frags)												
Photorhabdus asymbiotica subsp. australis DSM 17609 draft (141 frags)												
Streptococcus agalactiae GB00947 draft (268 frags)												
Veillonella atypica KON draft (68 frags)				Secondary		Secondary				Secondary		Secondary
Streptococcus agalactiae 998A Streptococcus agalactiae str. Gottschalk 998A draft (41 frags)												
Pseudomonas aeruginosa 138244 draft (24 frags)												
Klebsiella sp. YR343 Pantoea sp. YR343 draft (128 frags)											Secondary	
Escherichia coli LT-68 draft (63 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O25b:H4-ST131 str. EC958 plasmid pEC958 					Secondary					Secondary	Secondary	Secondary
Lactobacillus reuteri MM4-1A draft (7 frags)												
Sodalis-like symbiont of Philaenus spumarius strain PSPU draft (562 frags)												
Streptococcus pyogenes ABC020056883 draft (6 frags)												
Escherichia coli 95NR1 draft (181 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterobacter sp. MGH 4 draft (20 frags)												
Bifidobacterium pseudolongum AGR2145 draft (30 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus thermophilus LMD-9				Secondary		Secondary				Secondary	Secondary	Secondary
Lachnospiraceae bacterium 6-1-63FAA Lachnospiraceae bacterium 6_1_63FAA draft (37 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED
Streptococcus pneumoniae EU-NP02 draft (13 frags)												
Enterococcus faecalis DAPTO 512 draft (87 frags)												
Enterococcus faecium E3083 draft (11 frags)												
Bacteroides fragilis CL03T12C07 draft (35 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Klebsiella pneumoniae BWH 48 draft (36 frags)												
Mycoplasma auris 15026 draft (18 frags)												
Escherichia coli O165:H25 str. 2010C-4874 draft (118 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Shigella flexneri 2b plasmid R100 DNA 					Secondary	Secondary				Secondary	Secondary	Secondary
Haemophilus influenzae NT127 draft (41 frags)				Secondary						Secondary		
Escherichia coli BIDMC 15 draft (38 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Actinomyces sp. oral taxon 181 str. F0379 draft (32 frags)												
Streptococcus sobrinus DSM 20742 = ATCC 33478 draft (54 frags)												
Staphylococcus epidermidis VCU120 draft (61 frags)												
Enterococcus faecalis ERV116 draft (81 frags)												
Enterococcus casseliflavus EC20												
Bifidobacterium breve JCP7499 draft (96 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Pseudomonas aeruginosa BK1 draft (163 frags)												
Escherichia coli Envira 8/11 draft (63 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium E1133 draft (92 frags)												
Escherichia coli PA40 draft (66 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli MS 69-1 draft (425 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli E2348/69 chromosome from Sanger on Apr 22 2008 1:47PM				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus lactis subsp. cremoris TIFN3 draft (412 frags)												
Enterococcus faecium Aus0004 plasmid AUS0004_p1 												
Providencia sneebia DSM 19967 draft (17 frags)												
Enterococcus faecium 1 141 733 draft (101 frags)												
Prevotella veroralis DSM 19559 draft (31 frags)												
Escherichia coli MP021552.8 draft (72 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Roseburia intestinalis L1-82 draft (409 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	DETECTED	Secondary
Escherichia coli O157:H- str. 493-89 draft (204 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 117 (4-6857191) draft (38 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Corynebacterium argentoratense DSM 44202												
Bifidobacterium scardovii strain LMG 21589 draft (34 frags)				Secondary	DETECTED	Secondary				Secondary	Secondary	Secondary
Escherichia coli O121:H19 str. 2009C-4659 draft (206 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE45 draft (31 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae FCF3SP plasmid pKPC_FCF/3SP 												
Escherichia coli STEC_7v draft (29 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium VAN 219 draft (32 frags)												
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 plasmid pSTU288-1 												
Bacteroides fragilis YCH46 plasmid pBFY46 												
Human papillomavirus type 6 complete genome isolate LP173												
Escherichia coli HVH 116 (4-6879942) draft (36 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae EU-NP04 draft (12 frags)												
Escherichia coli PA2 draft (110 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli UMEA 3161-1 draft (33 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. EC4206 draft (7 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL096PA3 draft (38 frags)												
Enterococcus flavescens ATCC 49996 draft (33 frags)												
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 draft (173 frags)												
Bacteroides graminisolvens JCM 15093 draft (63 frags)	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary	Secondary	
Pseudomonas aeruginosa C51 draft (26 frags)												
Escherichia coli O55:H7 str. RM12579 plasmid p12579_5 								Secondary				
Actinomyces sp. oral taxon 170 str. F0386 draft (99 frags)												
Lactobacillus helveticus CIRM-BIA 101 draft (213 frags)												
Escherichia coli HVH 118 (4-7345399) draft (41 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa BWHPSA013 draft (18 frags)												
Escherichia coli O157:H- str. 493-89 draft (351 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Mobiluncus mulieris ATCC 35239 draft (66 frags)												
Pseudomonas aeruginosa LESlike4 sequence												
Streptococcus mutans TCI-151 draft (121 frags)												
Corynebacterium accolens ATCC 49726 draft (165 frags)												
Enterococcus mundtii crl1656 draft (643 frags)												
Candidatus Sodalis pierantonius str. SOPE					Secondary						Secondary	Secondary
Lachnospira multipara ATCC 19207 draft (32 frags)						Secondary						
Escherichia coli O26:H11 str. 05-3646 draft (136 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Veillonella sp. ACP1 draft (26 frags)				Secondary		Secondary				Secondary		Secondary
Propionibacterium sp. KPL2000 draft (3 frags)												
Actinobacillus pleuropneumoniae serovar 11 str. 56153 draft (47 frags)												
Streptococcus suis T15												Secondary
Escherichia coli P0301867.5 draft (136 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus phage CaseusJM1			Secondary		Secondary	Secondary					Secondary	Secondary
Enterococcus faecalis UAA905 draft (19 frags)												
Escherichia coli PA39 draft (889 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus bovis ATCC 700338 draft (38 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Salmonella enterica subsp. enterica serovar Heidelberg str. B182 plasmid pB182_37 												
Streptococcus pneumoniae GA14688 draft (15 frags)												
"Saccharomyces cerevisiae CLIB382, combined chrs"												
Pseudomonas aeruginosa BWHPSA005 draft (19 frags)												
Streptococcus agalactiae MC627 draft (130 frags)												
Streptococcus mutans TCI-268 draft (92 frags)												
Lactococcus phage 340					DETECTED	Secondary					DETECTED	
Clostridiales bacterium 9403326 draft (9 frags)												
Enterococcus faecium DO chromosome												
Lactococcus lactis subsp. lactis plasmid pIL7 												
Lactobacillus brevis ATCC 367 plasmid 2 												
Streptococcus pyogenes MGAS10394 chromosome												
Streptococcus suis 89-5259 draft (141 frags)												Secondary
Lactobacillus hilgardii ATCC 8290 draft (233 frags)												
Escherichia coli 1-110-08_S3_C2 draft (176 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae TIGR4 draft (218 frags)												
Enterobacter cloacae ECNIH3											Secondary	Secondary
Escherichia coli HVH 29 (4-3418073) draft (13 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli NE098 draft (471 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA11426 draft (13 frags)												
Escherichia coli UMEA 3955-1 draft (48 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Coprobacillus sp. 8_2_54BFAA draft (21 frags)					Secondary					Secondary	Secondary	DETECTED
Escherichia coli RN587/1 draft (73 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Yersinia enterocolitica subsp. enterocolitica 8081 chromosome											Secondary	
Streptococcus sobrinus W1703 draft (130 frags)						Secondary						Secondary
Enterobacter aerogenes UCI 28 draft (15 frags)					Secondary					Secondary	Secondary	Secondary
Staphylococcus epidermidis VCU050 draft (43 frags)												
Escherichia coli ED1a plasmid pECOED 											Secondary	
Clostridium beijerinckii AAU1_buffalo Clostridium beijerinckii AAU1 draft (6119 frags)												
Escherichia coli MP021561.3 draft (213 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae MRI Z1-035 draft (43 frags)												
Klebsiella pneumoniae UCI 42 draft (20 frags)												
Actinomyces sp. oral taxon 171 str. F0337 draft (580 frags)												
Escherichia coli KTE4 draft (56 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O121:H19 str. 2010C-4989 draft (84 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O104:H4 str. 11-4632 C4 draft (54 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus strain GD-F-12												
Salmonella enterica subsp. enterica serovar Paratyphi A plasmid pGY1 												
Escherichia coli O104:H4 str. Ec11-4986 draft (39 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium E3548 draft (19 frags)												
Streptococcus sobrinus TCI-50 draft (366 frags)												
Escherichia coli HVH 132 (4-6876862) draft (44 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Cucumber green mottle mosaic virus isolate KOM												
Streptococcus sp. oral taxon 071 str. 73H25AP draft (20 frags)						Secondary				Secondary		Secondary
Streptococcus suis 4961 draft (71 frags)												Secondary
Streptococcus sanguinis SK1 draft (13 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Shigella boydii 965-58 draft (96 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pepino mosaic virus isolate VFBC12-04	Secondary											
Sutterella wadsworthensis 3_1_45B draft (61 frags)												
Pepino mosaic virus isolate SAR09	Secondary											
Escherichia coli 88.1042 draft (427 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae GA47461 draft (7 frags)												
Escherichia coli BCE019_MS-13 draft (198 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Prevotella sp. oral taxon 472 str. F0295 draft (190 frags)												
Escherichia coli O121:H19 str. F6714 draft (188 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae BHN191 draft (94 frags)												
Klebsiella pneumoniae CHS 13 draft (26 frags)												
Streptococcus pyogenes ABC020046470 draft (4 frags)												
Cronobacter sakazakii ES15 chromosome					Secondary					Secondary	Secondary	Secondary
Escherichia coli HVH 169 (4-1075578) draft (47 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE143 draft (65 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis B2488 draft (25 frags)												
Escherichia coli P0301904.3 draft (190 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus mutans str. B16 P Sm1 draft (58 frags)												
Escherichia coli O6:H16 str. F5656C1 draft (180 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus sp. C87 Staphylococcus caprae C87 draft (46 frags)												
Enterobacter sp. JC163 draft (236 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL027PA1 draft (100 frags)												
Escherichia coli MS 84-1 draft (432 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lachnospiraceae bacterium 1_4_56FAA draft (45 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary
Yokenella regensburgei ATCC 43003 draft (48 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas aeruginosa BWH050 draft (16 frags)												
Citrobacter youngae ATCC 29220 draft (49 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Hepatitis GB virus C genomic RNA strain: K1741												
Streptococcus agalactiae MRI Z1-211 draft (21 frags)												
Bacteroides fragilis str. 3976T7 draft (447 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Pseudomonas aeruginosa BWHPSA039 draft (31 frags)												
Streptococcus thermophilus SMQ-173 plasmid pSMQ173b 												
Streptococcus agalactiae GB00874 draft (40 frags)												
Streptococcus vestibularis F0396 draft (11 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Shigella flexneri 2002021 draft (310 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bifidobacterium longum strain BXY01				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Enterococcus faecium 7430166-3 draft (34 frags)												
Streptococcus suis 161_00P5 draft (106 frags)												Secondary
Pseudomonas sp. 2_1_26 draft (295 frags)												
Propionibacterium freudenreichii subsp. freudenreichii strain ITG P20 draft (111 frags)												
Escherichia coli O157:H7 str. 2011EL-2107 draft (182 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli plasmid pO26-S3 				Secondary						Secondary		
Lactococcus lactis ML8 plasmid pCL2.1 												
Actinomyces sp. oral taxon 171 str. F0337 draft (580 frags)												
Enterococcus faecalis B2867 draft (60 frags)												
Streptococcus pseudoporcinus SPIN 20026 draft (35 frags)				Secondary		Secondary				Secondary		Secondary
Edwardsiella piscicida strain JF1305 draft (72 frags)												
Streptococcus agalactiae GB00247 draft (16 frags)												
Escherichia coli ThroopD draft (43 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erysipelotrichaceae bacterium 6_1_45 draft (91 frags)												
Tannerella sp. 6_1_58FAA_CT1 draft (88 frags)		Secondary	Secondary				Secondary	Secondary	Secondary			
Streptococcus sp. 2_1_36FAA draft (13 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli KTE84 draft (34 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas sp. PH1b draft (89 frags)												
Escherichia coli HVH 205 (4-3094677) draft (44 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 86 (4-7026218) draft (68 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 1357 Escherichia coli OK1357 draft (180 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O111:NM str. 01-3076 draft (211 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bifidobacterium merycicum strain LMG 11341 draft (16 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Ewingella americana ATCC 33852 draft (92 frags)												
Staphylococcus epidermidis AG42 draft (9 frags)												
Streptococcus agalactiae FSL S3-268 draft (74 frags)												
Pepino mosaic virus	Secondary											
Lactobacillus johnsonii FI9785 plasmid p9785L 												
Bacteroides coprosuis DSM 18011 draft (2 frags)	Secondary	Secondary					Secondary	Secondary			Secondary	
Streptococcus pneumoniae England14-9 draft (8 frags)												
Prevotella oralis ATCC 33269 draft (6 frags)												
Klebsiella pneumoniae BIDMC 46a draft (28 frags)												
Lactobacillus kefiranofaciens subsp. kefiranofaciens JCM 6985 draft (123 frags)												
Klebsiella pneumoniae CHS 62 draft (22 frags)												
Pseudomonas aeruginosa VRFPA02 draft (186 frags)												
"Saccharomyces cerevisiae Sigma1278b, combined chrs"												
Lonsdalea quercina subsp. quercina strain ATCC 29281 draft (37 frags)												
Brome mosaic virus strain BMV-CZ segment RNA2 												
Escherichia coli TW10119 draft (56 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Corynebacterium aurimucosum ATCC 700975 draft (101 frags)												
Pepino mosaic virus isolate PepMV-PK	Secondary											
Escherichia coli O111:NM str. 2010C-4592 draft (204 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis SS-6 draft (16 frags)												
Escherichia coli UMEA 4207-1 draft (30 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE223 draft (45 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae CHS 06 draft (25 frags)												
Streptococcus mutans NCTC 11060 draft (36 frags)												
Escherichia coli 97.0007 draft (284 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus suis YS46 draft (146 frags)						Secondary				Secondary		Secondary
Escherichia coli KTE159 draft (48 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Citrobacter rodentium ICC168 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis NIHLM057 draft (104 frags)												
Escherichia coli HVH 195 (3-7155360) draft (27 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Serratia odorifera DSM 4582 draft (91 frags)												
Haemophilus influenzae PittHH draft (59 frags)				Secondary						Secondary		
Enterococcus faecium NRRL B-2354												
Clostridium bolteae ATCC BAA-613 draft (78 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	DETECTED	Secondary	Secondary
Escherichia coli Nissle 1917 draft (143 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Shigella phage SfII										DETECTED		
CAU66304 Chicken anemia virus cloned isolate 10												
Clostridium colicanis 209318 draft (33 frags)												
Escherichia coli 6-319-05_S1_C2 draft (192 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL110PA3 draft (89 frags)												
Streptococcus pyogenes ABC020032535 draft (2 frags)												
Enterococcus faecalis TX0411 draft (113 frags)												
Hop stunt viroid clone HSVd.PN.12												
Escherichia coli B112 draft (126 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae MC632 draft (403 frags)												
Shigella flexneri 2002028 draft (297 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE43 draft (42 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
